elevator_id,location,city,license_number,license_status,license_expiry_date
1049,"255 Dufferin Ave, London",London,EDLIC-001049,ACTIVE,15-Feb-17
1050,"255 Dufferin Ave, London",London,EDLIC-001050,ACTIVE,15-Feb-17
1051,"255 Dufferin Ave, London",London,EDLIC-001051,ACTIVE,15-Feb-17
1052,"255 Dufferin Ave, London",London,EDLIC-001052,ACTIVE,15-Feb-17
1053,"255 Dufferin Ave, London",London,EDLIC-001053,ACTIVE,15-Feb-17
1054,"255 Dufferin Ave, London",London,EDLIC-001054,ACTIVE,15-Feb-17
1055,"255 Dufferin Ave, London",London,EDLIC-001055,ACTIVE,15-Feb-17
10554,"205 Charlotte St, Peterborough",Peterborough,EDLIC-010554,ACTIVE,28-Feb-17
1056,"255 Dufferin Ave, London",London,EDLIC-001056,ACTIVE,15-Feb-17
10561,"30 Adelaide St E, Toronto",Toronto,EDLIC-010561,ACTIVE,31-Jul-17
10562,"30 Adelaide St E, Toronto",Toronto,EDLIC-010562,ACTIVE,31-Jul-17
10563,"30 Adelaide St E, Toronto",Toronto,EDLIC-010563,ACTIVE,31-Jul-17
10564,"30 Adelaide St E, Toronto",Toronto,EDLIC-010564,ACTIVE,31-Jul-17
10565,"30 Adelaide St E, Toronto",Toronto,269866,ACTIVE,26-Jul-17
10566,"30 Adelaide St E, Toronto",Toronto,EDLIC-010566,ACTIVE,31-Jul-17
1059,"27 Gamble Av, Toronto",Toronto,271471,PENDING_RENEWAL,18-Aug-17
10592,800 Commissioners Rd E Planning Facilities London,London,EDLIC-010592,ACTIVE,15-Jan-17
10593,800 Commissioners Rd E Planning Facilities London,London,EDLIC-010593,ACTIVE,15-Jan-17
10594,800 Commissioners Rd E Planning Facilities London,London,EDLIC-010594,ACTIVE,15-Jan-17
10595,800 Commissioners Rd E Planning Facilities London,London,EDLIC-010595,ACTIVE,15-Jan-17
10608,"217 York St, London",London,154161,ACTIVE,12-Nov-17
10609,"217 York St, London",London,154162,ACTIVE,12-Nov-17
10611,"3929 Carp Rd, Carp",Carp,259725,ACTIVE,15-Mar-17
10620,"217 York St, London",London,154164,ACTIVE,12-Nov-17
10621,"217 York St, London",London,154166,ACTIVE,12-Nov-17
1063,"114 May St S, Thunder Bay",Thunder Bay,269791,ACTIVE,25-Jul-17
10687,"44 Gaukel St, Kitchener",Kitchener,EDLIC-010687,ACTIVE,30-Oct-17
10691,"241 Jarvis St, Toronto",Toronto,EDLIC-010691,PENDING_RENEWAL,15-Mar-17
10692,"241 Jarvis St, Toronto",Toronto,EDLIC-010692,PENDING_RENEWAL,29-Mar-17
10735,"241 Jarvis St, Toronto",Toronto,EDLIC-010735,PENDING_RENEWAL,15-Mar-17
10753,800 Commissioners Rd E Planning Facilities London,London,EDLIC-010753,ACTIVE,15-Jan-17
10754,Vineland Research Station 4902 Victoria Ave N Lincoln,Lincoln,185649,ACTIVE,08-Nov-17
10848,"225 Jarvis St, Toronto",Toronto,EDLIC-010848,ACTIVE,15-Mar-17
10852,"225 Jarvis St, Toronto",Toronto,EDLIC-010852,ACTIVE,15-Mar-17
10853,"225 Jarvis St, Toronto",Toronto,EDLIC-010853,ACTIVE,15-Mar-17
10854,"225 Jarvis St, Toronto",Toronto,EDLIC-010854,ACTIVE,15-Mar-17
1093,"22 Research Rd, Toronto",Toronto,EDLIC-001093,PENDING_RENEWAL,15-Jun-17
1094,"22 Research Rd, Toronto",Toronto,EDLIC-001094,PENDING_RENEWAL,15-Jun-17
1099,"491 Lawrence Av W, Toronto",Toronto,206222,ACTIVE,15-Jan-17
11,"111 Wellesley St W, Toronto",Toronto,EDLIC-000011,ACTIVE,15-Apr-17
11003,"75 Spencer Ave, Toronto",Toronto,EDLIC-011003,ACTIVE,15-Sep-17
11010,"489 College St, Toronto",Toronto,EDLIC-011010,ACTIVE,15-Feb-17
11011,"211 Yonge St, Toronto",Toronto,218449,ACTIVE,15-Jul-17
11013,"345 Adelaide St W, Toronto",Toronto,EDLIC-011013,ACTIVE,15-Aug-17
11014,"317 Adelaide St W, Toronto",Toronto,EDLIC-011014,ACTIVE,15-Oct-17
11015,"317 Adelaide St W, Toronto",Toronto,EDLIC-011015,ACTIVE,15-Oct-17
11021,"326 Adelaide St W, Toronto",Toronto,EDLIC-011021,ACTIVE,15-Oct-17
11023,"159 Russell Hill Rd, Toronto",Toronto,EDLIC-011023,ACTIVE,15-Jul-17
11024,"177 Jameson Ave, Toronto",Toronto,EDLIC-011024,ACTIVE,30-Sep-17
11025,"177 Jameson Ave, Toronto",Toronto,EDLIC-011025,ACTIVE,30-Sep-17
11026,"91 King St E, Toronto",Toronto,EDLIC-011026,ACTIVE,15-Jul-17
11027,"10 Lamport Av, Toronto",Toronto,188692,ACTIVE,31-Jan-17
11028,"1639 Bloor St W, Toronto",Toronto,239372,ACTIVE,15-Dec-16
11029,"120 Rosedale Valley Rd, Toronto",Toronto,EDLIC-011029,ACTIVE,03-Apr-17
11030,"120 Rosedale Valley Rd, Toronto",Toronto,EDLIC-011030,ACTIVE,02-May-17
11031,"120 Rosedale Valley Rd, Toronto",Toronto,EDLIC-011031,ACTIVE,02-Feb-17
11032,"166 Carlton St, Toronto",Toronto,EDLIC-011032,ACTIVE,15-Oct-17
11033,"166 Carlton St, Toronto",Toronto,EDLIC-011033,ACTIVE,15-Oct-17
11039,"284 King St W, Toronto",Toronto,EDLIC-011039,ACTIVE,15-Sep-17
11041,"3110 Yonge St, Toronto",Toronto,250952,ACTIVE,15-Aug-17
11042,"3112 Yonge St, Toronto",Toronto,250953,ACTIVE,15-Aug-17
11046,"243 College St, Toronto",Toronto,EDLIC-011046,ACTIVE,15-May-17
11047,"615 Yonge St, Toronto",Toronto,EDLIC-011047,ACTIVE,15-Nov-17
11049,"82 Peter St, Toronto",Toronto,EDLIC-011049,ACTIVE,15-Aug-17
11050,"500 Avenue Rd, Toronto",Toronto,EDLIC-011050,ACTIVE,15-Mar-17
11051,"500 Avenue Rd, Toronto",Toronto,EDLIC-011051,ACTIVE,15-Mar-17
11052,"171 St Clair Ave E, Toronto",Toronto,EDLIC-011052,ACTIVE,15-Jun-17
11053,"581 Avenue Rd, Toronto",Toronto,265320,ACTIVE,15-Jun-17
11054,"266 King St, Toronto",Toronto,EDLIC-011054,ACTIVE,18-Dec-16
11055,"48 Isabella St, Toronto",Toronto,205877,ACTIVE,19-Feb-17
11056,"48 Isabella St, Toronto",Toronto,205876,ACTIVE,19-Feb-17
11057,"169 Jameson Ave, Toronto",Toronto,232205,ACTIVE,13-Jul-17
11061,"511 King St W, Toronto",Toronto,258140,ACTIVE,15-Dec-16
11062,"119 Spadina Ave, Toronto",Toronto,EDLIC-011062,ACTIVE,15-Aug-17
11063,"119 Spadina Ave, Toronto",Toronto,EDLIC-011063,ACTIVE,15-Aug-17
11064,"44-50 Balliol St, Toronto",Toronto,EDLIC-011064,ACTIVE,15-Dec-16
11065,"150 Balmoral Ave, Toronto",Toronto,EDLIC-011065,ACTIVE,15-Aug-17
11066,"250 University Ave, Toronto",Toronto,274690,ACTIVE,03-Nov-17
11067,"250 University Ave, Toronto",Toronto,274692,ACTIVE,03-Nov-17
11068,"250 University Ave, Toronto",Toronto,274693,ACTIVE,03-Nov-17
11069,"250 University Ave, Toronto",Toronto,274694,ACTIVE,03-Nov-17
11070,"250 University Ave, Toronto",Toronto,274695,ACTIVE,03-Nov-17
11078,"700 Ontario St, Toronto",Toronto,EDLIC-011078,ACTIVE,15-Dec-16
11079,"700 Ontario St, Toronto",Toronto,EDLIC-011079,ACTIVE,15-Dec-16
11080,"700 Ontario St, Toronto",Toronto,EDLIC-011080,ACTIVE,15-Dec-16
11081,"384 Adelaide St W, Toronto",Toronto,EDLIC-011081,ACTIVE,15-Apr-17
11085,"95 Saint Joseph St, Toronto",Toronto,EDLIC-011085,ACTIVE,15-May-17
11089,"80 Richmond St W, Toronto",Toronto,184926,ACTIVE,31-Jul-17
11090,"80 Richmond St W, Toronto",Toronto,184927,ACTIVE,31-Jul-17
11091,"80 Richmond St W, Toronto",Toronto,184928,ACTIVE,31-Jul-17
11092,"80 Richmond St W, Toronto",Toronto,184929,ACTIVE,31-Jul-17
11093,"51 Wolseley St, Toronto",Toronto,182385,ACTIVE,06-Sep-17
11096,"76 Adelaide St W, Toronto",Toronto,EDLIC-011096,PENDING_RENEWAL,15-May-17
11097,"76 Adelaide St W, Toronto",Toronto,EDLIC-011097,PENDING_RENEWAL,15-May-17
11098,"76 Adelaide St W, Toronto",Toronto,EDLIC-011098,PENDING_RENEWAL,15-May-17
11099,"76 Adelaide St W, Toronto",Toronto,EDLIC-011099,PENDING_RENEWAL,15-May-17
11101,"1030 Dufferin St, Toronto",Toronto,EDLIC-011101,ACTIVE,15-Sep-17
11103,"15 Asquith Ave, Toronto",Toronto,EDLIC-011103,ACTIVE,15-Feb-17
11104,"15 Asquith Ave, Toronto",Toronto,EDLIC-011104,ACTIVE,17-Dec-16
11106,"72 Eglinton Ave E, Toronto",Toronto,EDLIC-011106,ACTIVE,15-May-17
11107,"375 University Ave, Toronto",Toronto,EDLIC-011107,ACTIVE,15-Feb-17
11108,"27 Walmer Rd, Toronto",Toronto,EDLIC-011108,ACTIVE,15-Sep-17
11109,"221 Russell Hill Rd, Toronto",Toronto,EDLIC-011109,ACTIVE,15-Jul-17
11110,"22 Woodlawn Ave E, Toronto",Toronto,EDLIC-011110,ACTIVE,15-Jun-17
11111,"5 Benlamond Av, Toronto",Toronto,EDLIC-011111,ACTIVE,15-Mar-17
11112,"1 Benvenuto Pl, Toronto",Toronto,EDLIC-011112,ACTIVE,15-Jun-17
11116,"23 Oriole Rd, Toronto",Toronto,EDLIC-011116,ACTIVE,15-Jan-17
11117,"220 Eglinton Ave E, Toronto",Toronto,EDLIC-011117,ACTIVE,15-Sep-17
11118,"220 Eglinton Ave E, Toronto",Toronto,EDLIC-011118,ACTIVE,15-Sep-17
11126,"117 Broadway Ave, Toronto",Toronto,260798,ACTIVE,04-Feb-17
11127,"42 Glen Elm Ave, Toronto",Toronto,227307,ACTIVE,16-Apr-17
11130,"477 Mount Pleasant Rd, Toronto",Toronto,EDLIC-011130,ACTIVE,15-May-17
11131,"477 Mount Pleasant Rd, Toronto",Toronto,EDLIC-011131,ACTIVE,15-May-17
11132,"120 Broadway Ave, Toronto",Toronto,EDLIC-011132,ACTIVE,15-Jan-17
11133,"678 Broadview Ave, Toronto",Toronto,EDLIC-011133,ACTIVE,15-May-17
11134,"678 Broadview Ave, Toronto",Toronto,EDLIC-011134,ACTIVE,15-May-17
11142,"100 Gloucester St, Toronto",Toronto,EDLIC-011142,ACTIVE,09-Aug-17
11143,"100 Gloucester St, Toronto",Toronto,EDLIC-011143,ACTIVE,27-Sep-17
11144,"100 Gloucester St, Toronto",Toronto,187592,ACTIVE,05-Dec-16
11146,"103 Church St, Toronto",Toronto,266304,ACTIVE,23-May-17
11147,"360 Adelaide St W, Toronto",Toronto,EDLIC-011147,ACTIVE,15-Sep-17
11148,"240 Oriole Pkwy, Toronto",Toronto,EDLIC-011148,ACTIVE,15-Sep-17
11150,"1000 Yonge St, Toronto",Toronto,EDLIC-011150,ACTIVE,15-May-17
11157,"443 University Ave, Toronto",Toronto,249314,ACTIVE,07-Jul-17
11158,"443 University Ave, Toronto",Toronto,EDLIC-011158,ACTIVE,15-Jul-17
11159,"60 Yonge St, Toronto",Toronto,EDLIC-011159,ACTIVE,15-Jan-17
11160,"60 Yonge St, Toronto",Toronto,EDLIC-011160,ACTIVE,15-Jan-17
11161,"60 Yonge St, Toronto",Toronto,EDLIC-011161,ACTIVE,15-Jan-17
11162,"55 York St, Toronto",Toronto,EDLIC-011162,ACTIVE,21-Jan-17
11163,"55 York St, Toronto",Toronto,232368,ACTIVE,15-Jun-17
11164,"55 York St, Toronto",Toronto,232370,ACTIVE,15-Jun-17
11173,"20 Brant St, Toronto",Toronto,EDLIC-011173,ACTIVE,01-Sep-17
11202,115 Winona Dr Mcmurrich Ps Toronto,Toronto,EDLIC-011202,ACTIVE,01-Sep-17
11228,991 St Clair Ave W Oakwood Ci Toronto,Toronto,EDLIC-011228,ACTIVE,01-Sep-17
11232,"570 Shaw St, Toronto",Toronto,EDLIC-011232,ACTIVE,01-Sep-17
11234,"570 Shaw St, Toronto",Toronto,EDLIC-011234,ACTIVE,01-Sep-17
11237,725 Bathurst St Central Technical School Toronto,Toronto,EDLIC-011237,ACTIVE,01-Sep-17
11238,725 Bathurst St Central Technical School Toronto,Toronto,EDLIC-011238,ACTIVE,01-Sep-17
11240,800 Greenwood Ave Danforth Coll & Tech Inst Toronto,Toronto,EDLIC-011240,ACTIVE,01-Sep-17
11241,851 Mount Pleasant Rd Northern Ss Toronto,Toronto,EDLIC-011241,ACTIVE,01-Sep-17
11242,851 Mount Pleasant Rd Northern Ss Toronto,Toronto,EDLIC-011242,ACTIVE,01-Sep-17
11250,"600 Bay St, Toronto",Toronto,EDLIC-011250,ACTIVE,15-May-17
11252,"10 Adelaide St E, Toronto",Toronto,EDLIC-011252,ACTIVE,15-Aug-17
11253,"144 King St E, Toronto",Toronto,EDLIC-011253,ACTIVE,15-Apr-17
11254,"25 King St W, Toronto",Toronto,EDLIC-011254,ACTIVE,01-Aug-17
11255,"25 King St W, Toronto",Toronto,EDLIC-011255,ACTIVE,01-Aug-17
11256,"25 King St W, Toronto",Toronto,EDLIC-011256,ACTIVE,01-Aug-17
11257,"25 King St W, Toronto",Toronto,EDLIC-011257,ACTIVE,01-Aug-17
11258,"25 King St W, Toronto",Toronto,EDLIC-011258,ACTIVE,01-Aug-17
11259,"25 King St W, Toronto",Toronto,EDLIC-011259,ACTIVE,01-Aug-17
1126,"2072 Riverside Dr, Walkerville",Walkerville,EDLIC-001126,ACTIVE,15-Sep-17
11260,"25 King St W, Toronto",Toronto,EDLIC-011260,ACTIVE,01-Aug-17
11261,"25 King St W, Toronto",Toronto,EDLIC-011261,ACTIVE,01-Aug-17
11262,"25 King St W, Toronto",Toronto,EDLIC-011262,ACTIVE,01-Aug-17
11263,"25 King St W, Toronto",Toronto,EDLIC-011263,ACTIVE,01-Aug-17
11272,"214 King St W, Toronto",Toronto,EDLIC-011272,ACTIVE,15-Mar-17
11273,"221 Dufferin St, Toronto",Toronto,270514,PENDING_RENEWAL,03-Aug-17
11275,"100 Jameson Ave, Toronto",Toronto,EDLIC-011275,ACTIVE,11-Jan-17
11276,"100 Jameson Ave, Toronto",Toronto,199452,ACTIVE,03-Feb-17
11277,"54 Polson St, Toronto",Toronto,EDLIC-011277,ACTIVE,15-Feb-17
11278,"330 University Ave, Toronto",Toronto,EDLIC-011278,ACTIVE,15-Nov-17
11279,"330 University Ave, Toronto",Toronto,EDLIC-011279,ACTIVE,15-Nov-17
11280,"330 University Ave, Toronto",Toronto,EDLIC-011280,ACTIVE,15-Nov-17
11281,"330 University Ave, Toronto",Toronto,EDLIC-011281,ACTIVE,15-Nov-17
11282,"330 University Ave, Toronto",Toronto,EDLIC-011282,ACTIVE,14-Dec-16
11283,"330 University Ave, Toronto",Toronto,EDLIC-011283,ACTIVE,13-Dec-16
11288,"320 Bay St, Toronto",Toronto,228320,ACTIVE,06-May-17
11289,"320 Bay St, Toronto",Toronto,228322,ACTIVE,06-May-17
11290,"320 Bay St, Toronto",Toronto,228326,ACTIVE,06-May-17
11291,"320 Bay St, Toronto",Toronto,228328,ACTIVE,06-May-17
11292,"320 Bay St, Toronto",Toronto,228329,ACTIVE,06-May-17
11294,"320 Bay St, Toronto",Toronto,228349,ACTIVE,06-May-17
1130,"2072 Riverside Dr, Walkerville",Walkerville,EDLIC-001130,ACTIVE,15-Sep-17
11301,"C N E, Qe Stage, Toronto",Toronto,EDLIC-011301,ACTIVE,15-Jul-17
11303,"C N E, Qe Kitchen, Toronto",Toronto,274632,PENDING_RENEWAL,02-Nov-17
11304,"C N E, Qe Offices, Toronto",Toronto,EDLIC-011304,ACTIVE,15-Jul-17
11308,"C N E, Ont Gov Bldg, Toronto",Toronto,EDLIC-011308,ACTIVE,24-Sep-17
11317,"151 Front St W, Toronto",Toronto,157296,ACTIVE,13-Feb-17
11318,"151 Front St W, Toronto",Toronto,157297,ACTIVE,13-Feb-17
11321,"100 Front St W, Toronto",Toronto,EDLIC-011321,ACTIVE,05-Feb-17
11322,"100 Front St W, Toronto",Toronto,EDLIC-011322,ACTIVE,08-Feb-17
11323,"100 Front St W, Toronto",Toronto,EDLIC-011323,ACTIVE,14-Oct-17
11324,"100 Front St W, Toronto",Toronto,EDLIC-011324,ACTIVE,15-Apr-17
11325,"100 Front St W, Toronto",Toronto,EDLIC-011325,ACTIVE,15-Apr-17
11326,"100 Front St W, Toronto",Toronto,EDLIC-011326,ACTIVE,22-Mar-17
11327,"100 Front St W, Toronto",Toronto,EDLIC-011327,ACTIVE,22-Mar-17
11328,"100 Front St W, Toronto",Toronto,EDLIC-011328,ACTIVE,22-Mar-17
11329,"100 Front St W, Toronto",Toronto,EDLIC-011329,ACTIVE,14-Oct-17
11330,"100 Front St W, Toronto",Toronto,EDLIC-011330,ACTIVE,15-Apr-17
11331,"100 Front St W, Toronto",Toronto,EDLIC-011331,ACTIVE,15-Apr-17
11332,"100 Front St W, Toronto",Toronto,EDLIC-011332,ACTIVE,15-Apr-17
11333,"100 Front St W, Toronto",Toronto,EDLIC-011333,ACTIVE,15-Apr-17
11334,"100 Front St W, Toronto",Toronto,EDLIC-011334,ACTIVE,15-Apr-17
11335,"100 Front St W, Toronto",Toronto,EDLIC-011335,ACTIVE,15-Apr-17
11336,"100 Front St W, Toronto",Toronto,EDLIC-011336,ACTIVE,15-Apr-17
11337,"100 Front St W, Toronto",Toronto,EDLIC-011337,ACTIVE,15-Apr-17
11338,"100 Front St W, Toronto",Toronto,EDLIC-011338,ACTIVE,15-Apr-17
11339,"100 Front St W, Toronto",Toronto,EDLIC-011339,ACTIVE,15-Apr-17
1134,"211 Buckingham Rd, Windsor",Windsor,255924,ACTIVE,01-Nov-17
11340,"100 Front St W, Toronto",Toronto,EDLIC-011340,ACTIVE,15-Apr-17
11350,"26 Duncan St, Toronto",Toronto,EDLIC-011350,ACTIVE,15-Sep-17
11354,"1460 Bayview Ave, Toronto",Toronto,EDLIC-011354,ACTIVE,15-Jan-17
11355,"364 Richmond St W, Toronto",Toronto,222565,ACTIVE,19-Jan-17
11357,"198 Spadina Ave, Toronto",Toronto,EDLIC-011357,ACTIVE,15-Apr-17
11358,"77 Wellesley St E, Toronto",Toronto,242371,ACTIVE,10-Feb-17
11360,"88 Charles St E, Toronto",Toronto,EDLIC-011360,ACTIVE,15-Dec-16
11365,"1 Homewood Av, Toronto",Toronto,EDLIC-011365,ACTIVE,15-Jul-17
11367,"8 King St E, Toronto",Toronto,185887,ACTIVE,31-Jul-17
11369,"8 King St E, Toronto",Toronto,185885,ACTIVE,31-Jul-17
1137,"27 York St, Ottawa",Ottawa,EDLIC-001137,ACTIVE,15-Feb-17
11370,"8 King St E, Toronto",Toronto,185889,ACTIVE,31-Jul-17
11371,"8 King St E, Toronto",Toronto,185886,ACTIVE,31-Jul-17
11373,"250 Lawrence Ave W, Toronto",Toronto,234384,ACTIVE,25-Aug-17
11375,"24-26 St Joseph St, Toronto",Toronto,EDLIC-011375,ACTIVE,15-Mar-17
11376,"2 Sultan St, Toronto",Toronto,EDLIC-011376,ACTIVE,15-Dec-16
11378,"200 University Ave, Toronto",Toronto,EDLIC-011378,ACTIVE,25-Mar-17
11379,"200 University Ave, Toronto",Toronto,193416,ACTIVE,24-Mar-17
11380,"200 University Ave, Toronto",Toronto,EDLIC-011380,ACTIVE,03-Aug-17
11381,"200 University Ave, Toronto",Toronto,EDLIC-011381,ACTIVE,07-Jun-17
11382,"200 University Ave, Toronto",Toronto,EDLIC-011382,ACTIVE,15-Mar-17
11383,"44 Victoria St, Toronto",Toronto,EDLIC-011383,ACTIVE,15-May-17
11384,"44 Victoria St, Toronto",Toronto,EDLIC-011384,ACTIVE,15-Aug-17
11385,"44 Victoria St, Toronto",Toronto,EDLIC-011385,ACTIVE,15-May-17
11386,"44 Victoria St, Toronto",Toronto,EDLIC-011386,ACTIVE,15-May-17
11387,"44 Victoria St, Toronto",Toronto,EDLIC-011387,ACTIVE,15-Aug-17
11388,"505 Kingston Rd, Toronto",Toronto,196190,ACTIVE,09-Jul-17
11389,"1491 Yonge St, Toronto",Toronto,EDLIC-011389,ACTIVE,15-Jun-17
1139,"176 Dundas St, London",London,269797,ACTIVE,25-Jul-17
11390,"580 Christie St, Toronto",Toronto,267110,ACTIVE,14-Mar-17
11391,"580 Christie St, Toronto",Toronto,267109,ACTIVE,15-Mar-17
11392,"484 Church St, Toronto",Toronto,EDLIC-011392,ACTIVE,15-Mar-17
11393,"484 Church St, Toronto",Toronto,EDLIC-011393,ACTIVE,15-Mar-17
11394,"484 Church St, Toronto",Toronto,EDLIC-011394,ACTIVE,15-Mar-17
11395,"51 Alexander St, Toronto",Toronto,EDLIC-011395,ACTIVE,15-Mar-17
11396,"51 Alexander St, Toronto",Toronto,EDLIC-011396,ACTIVE,15-Mar-17
11397,"51 Alexander St, Toronto",Toronto,EDLIC-011397,ACTIVE,15-Mar-17
11398,"484 Church St, Toronto",Toronto,EDLIC-011398,ACTIVE,15-Mar-17
11399,"51 Alexander St, Toronto",Toronto,EDLIC-011399,ACTIVE,15-Mar-17
11400,"31 Alexander St, Toronto",Toronto,EDLIC-011400,ACTIVE,15-Mar-17
11401,"31 Alexander St, Toronto",Toronto,EDLIC-011401,ACTIVE,15-Mar-17
11402,"31 Alexander St, Toronto",Toronto,EDLIC-011402,ACTIVE,15-Mar-17
11403,"31 Alexander St, Toronto",Toronto,EDLIC-011403,ACTIVE,15-Mar-17
11404,"1 Greenhouse Rd, Toronto",Toronto,EDLIC-011404,ACTIVE,01-Jan-17
11410,"60 Queen St W, Toronto",Toronto,EDLIC-011410,ACTIVE,01-Jan-17
11412,"60 Queen St W, Toronto",Toronto,EDLIC-011412,ACTIVE,01-Jan-17
11413,"60 Queen St W, Toronto",Toronto,EDLIC-011413,ACTIVE,01-Jan-17
11414,"511 Richmond St W, Works Dept, Toronto",Toronto,EDLIC-011414,ACTIVE,01-Jan-17
11419,"115 Dowling Ave, Toronto",Toronto,EDLIC-011419,ACTIVE,15-Mar-17
11420,"115 Dowling Ave, Toronto",Toronto,EDLIC-011420,ACTIVE,15-Mar-17
11444,"333 Bloor St E, Toronto",Toronto,EDLIC-011444,ACTIVE,01-Apr-17
11445,"333 Bloor St E, Toronto",Toronto,EDLIC-011445,ACTIVE,21-Nov-17
11446,"333 Bloor St E, Toronto",Toronto,EDLIC-011446,ACTIVE,21-Nov-17
11447,"333 Bloor St E, Toronto",Toronto,EDLIC-011447,ACTIVE,10-Feb-17
11453,"260 Richmond St W, Toronto",Toronto,197940,ACTIVE,15-Aug-17
11463,"244 Eglinton Ave E, Toronto",Toronto,EDLIC-011463,ACTIVE,15-Sep-17
11464,"200 King St E, Toronto",Toronto,EDLIC-011464,ACTIVE,15-May-17
11466,"720 Bathurst St, Toronto",Toronto,163535,ACTIVE,29-Jun-17
11469,"149 South Dr, Toronto",Toronto,EDLIC-011469,ACTIVE,15-Mar-17
11470,"46 Spadina Ave, Toronto",Toronto,EDLIC-011470,ACTIVE,15-Apr-17
11471,"815 Danforth Ave, Toronto",Toronto,EDLIC-011471,ACTIVE,15-Jan-17
11472,"815 Danforth Ave, Toronto",Toronto,EDLIC-011472,ACTIVE,15-Jan-17
11473,"120 Bloor St E, Toronto",Toronto,EDLIC-011473,ACTIVE,28-Jun-17
11474,"120 Bloor St E, Toronto",Toronto,EDLIC-011474,ACTIVE,08-Jul-17
11475,"120 Bloor St E, Toronto",Toronto,EDLIC-011475,ACTIVE,15-Aug-17
11476,"443 Mount Pleasant Rd, Toronto",Toronto,EDLIC-011476,ACTIVE,15-Feb-17
11478,"C N E G. S. Bldg, Toronto",Toronto,EDLIC-011478,ACTIVE,15-Jul-17
11485,"2 College St, Toronto",Toronto,EDLIC-011485,ACTIVE,15-Nov-17
1149,"468 Ottawa St N, Hamilton",Hamilton,226667,ACTIVE,07-Apr-17
11491,"111 Queen St E, Toronto",Toronto,264222,ACTIVE,02-Oct-17
11492,"111 Queen St E, Toronto",Toronto,EDLIC-011492,ACTIVE,15-Aug-17
11495,"25 Lascelles Blvd, Toronto",Toronto,EDLIC-011495,ACTIVE,15-Jul-17
11496,"25 Lascelles Blvd, Toronto",Toronto,EDLIC-011496,ACTIVE,15-Jul-17
11497,"25 Lascelles Blvd, Toronto",Toronto,EDLIC-011497,ACTIVE,15-Jul-17
11498,"17 Lascelles Blvd, Toronto",Toronto,EDLIC-011498,ACTIVE,15-Jul-17
11499,"17 Lascelles Blvd, Toronto",Toronto,EDLIC-011499,ACTIVE,15-Jul-17
1150,"468 Ottawa St N, Hamilton",Hamilton,226668,ACTIVE,07-Apr-17
11500,"23 Lascelles Blvd, Toronto",Toronto,EDLIC-011500,ACTIVE,15-Jun-17
11501,"23 Lascelles Blvd, Toronto",Toronto,EDLIC-011501,ACTIVE,15-Jun-17
