Incident Number,Creation Date,Fatal Injury Victim,Concussion Intracranial Inju,Burns Severe,Burns Minor,Whiplash,Spinal Injury,Amputation,Injury Leading Deafness,Heart Attack,Fracture Major Bone,Eye Injury,Electric Shock Severe,Electric Shock Minor,Dislocation Limb,Bruise Hemorrhage Interna,Exposure Carcinomatou Poison,Swelling,Sprained Twisted Joints Muscle,Skin Infection Irritation,Seizure,Respiratory Infection Irrita,Poisoning,Other Internal Injury,Nausea Dizziness,Laceration Superficial Cut,Laceration Deep Cut,Fracture Nose Fingers Toes,External Bruise,Aches Pains,Date Of Occurrence,catagory of incident,fatal injury,permanent (serious) injury,non-permanent (minor) injury,No Injury,elevating devices number,Specific Root Cause,Reported occurrence narrative,Time of Occurrence,Summarized detail of Inspection and tests,Inspector's Conclusion,Incident Summary,Task Number,release
550066,21-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,07-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,70219,,Elevator - lady tripped getting into elevator it wasn't level she hit right side of head on wall,12:00:00 AM,,,ED-Incident,3267911,yes
546912,14-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Mar-11,ED-Near-Miss,,,,,33397,,Elevator - flood in pit,9:00:00 AM,,,ED-Near Miss,3301977,yes
544412,09-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,73864,,"Escalator-while taking cart up she fell about 13 steps injury to right leg, arm, shoulder and back",6:25:00 PM,,,ED-Incident,3254231,yes
583676,28-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-Mar-11,ED-Near-Miss,,,,,28224,,Elevator - Flood in pit,10:00:00 AM,,,ED-Near Miss,3325705,yes
558264,31-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,24064,,Elevator - not level lady tripped injured same knee she had operation on last year,10:15:00 AM,,,ED-Incident,3287158,yes
546868,14-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09-Mar-11,ED-Near-Miss,,,,,20658,,Elevator - Someone tampered with controller beer sprayed over it causing it to short out and caused contaminted parts,10:13:00 AM,,,ED-Near Miss,3261315,yes
550112,21-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar-11,ED-Near-Miss,,,,,20239,,Elevator - water from broken water-main came down hill into underground and flooded elevator,12:00:00 AM,,,ED-Near Miss,3268424,yes
550104,21-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar-11,ED-Near-Miss,,,,,22202,,Elevator- flood from rain 6 feet of water filled pits unknown if any damage,12:00:00 AM,,,ED-Near Miss,3268009,yes
542828,06-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,3045,,elevator-male got hit on his left side of head and left should by gate that came down.,11:30:00 AM,,,ED-Incident,3250986,yes
548582,17-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,70587,,Elevator- got in lights went out banged elbow,11:00:00 AM,,,ED-Incident,3265035,yes
552096,24-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,22546,,Elevator - women got fingers caught in frame of door,1:18:00 PM,,,ED-Incident,3272208,yes
552564,25-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,64493037,1.5 Electrical or instrument noise or malfunction,Elevator- women claimed elevator dropped 7 floors she fell bruise internal and exteral bruised ribs,12:30:00 PM,see investigation report,see investigation report,ED-Incident,3323513,yes
551678,23-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,36042,,Elevator - Out of level and tripped leaving injured knee and shoulder,5:05:00 PM,,,ED-Incident,3271381,yes
552554,25-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,64539,,"Elevator - women tripped getting on elevator hit right side of shoulder, chest area, and face on wall when she fell.",12:00:00 AM,,,ED-Incident,3273224,yes
654658,08-Sep-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-Mar-11,ED-Near-Miss,,,,,85546,"8.4 Sabotage, terrorism, vandalism, theft",It was reported that the device fell knocking the car door off.,11:00:00 PM,Inspected device to see if fell,Inspector found no evidence that this device fell the doors looked to be knocked off device was found level at floor.,ED-Near Miss,3468366,yes
583696,28-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar-11,ED-Near-Miss,,,,,16076,6.3 Improper or negligent work practices,Elevator-found equipment with rope grippers with screws in the hold position govenor tied up with electrical wire it was altered,1:45:00 PM,See report,See report,ED-Near Miss,5470913,yes
557402,30-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,16412,,Elevator- Position indicator panel in the car came loose and swung down and hit tenant in the face cut to face,12:00:00 PM,,,ED-Incident,3284970,yes
557290,30-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,35139,,"Elevator - Indoor door opened she tried to step out and it moved upward she stumbled and fell hurt leg, neck and back",6:13:00 PM,,,ED-Incident,3284521,yes
578218,14-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Apr-11,ED-Incident,0.0,0.0,1.0,0.0,32198,,Elevator - not level she tripped and hit back wall complained of numbness had back and leg disabilities,1:00:00 PM,,,ED-Incident,3312273,yes
641118,05-Aug-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-Apr-11,ED-Near-Miss,0.0,0.0,0.0,1.0,76933,,Elevator - little girl got hand caught in door casing just reported it happened in April,3:00:00 PM,,,ED-Near Miss,3437128,yes
574244,06-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-Apr-11,ED-Near-Miss,0.0,0.0,0.0,1.0,22852,,Elevator - not level handicapped student tripped no injuries reported,9:00:00 AM,,,ED-Near Miss,3300371,yes
576424,11-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07-Apr-11,ED-Incident,0.0,0.0,1.0,0.0,40029,,Elevator - lady pulling buggy into elevator and door closed on her she sustained injury to shoulder,2:15:00 PM,,,ED-Incident,3307404,yes
576056,11-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Apr-11,ED-Near-Miss,,,,,82936,,Elevator- Pipe burst went into all elevators all of the shut down,7:00:00 AM,,,ED-Near Miss,3306557,yes
577638,13-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08-Apr-11,ED-Near-Miss,0.0,0.0,0.0,1.0,1545,1.3 Defective or failed material,Freight - cleaner in freight elevator heard a crack and pressed stop button the weight box hit the south hall door sill no injuries,5:45:00 PM,see attached inspector conclusion and tests,see attached inspector conclusion and testts,ED-Near Miss,3323861,yes
576996,12-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,09-Apr-11,ED-Incident,0.0,0.0,1.0,0.0,70724,,Elevator - not level lady tripped and cut the inside of her lip and hurt left arm and knee,11:30:00 AM,,,ED-Incident,3308829,yes
586106,03-May-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-Apr-11,ED-Incident,0.0,0.0,1.0,0.0,27994,,Elevator- Tenant claimed elevator fell and he hit floor with shoulder and hip,2:00:00 PM,,,ED-Incident,3330294,yes
578440,15-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-Apr-11,ED-Near-Miss,0.0,0.0,0.0,1.0,30568,1.2 Defective or failed component including safety devices,Elevator - not level man stumbled out but didn't fall no injuries,12:00:00 AM,Completed periodic inspection,Device had faulty vane and vane switch,ED-Near Miss,3364764,yes
579822,19-Apr-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14-Apr-11,ED-Incident,1.0,0.0,0.0,0.0,36957,,Victim was walking onto elevator from unit 907 elevator was not level causing her to trip and fall hitting her head on the back of the elevator cab.,6:00:00 PM,See Attached,See Attached,ED Incident,3409741,yes
583242,27-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14-Apr-11,ED-Incident,0.0,0.0,1.0,0.0,27158,1.2 Defective or failed component including safety devices,Elevator - Lady tripped and hit head on hand rail,11:11:00 AM,see attached,see attached,ED-Incident,3338118,yes
578790,15-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Apr-11,ED-Near-Miss,,,,,30953,1.2 Defective or failed component including safety devices,Elevator - Elevator left floor with door open,9:30:00 AM,See Report,See Report,ED-Near Miss,5470852,yes
582170,26-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-11,ED-Near-Miss,,,,,35223,,"Elevator - oil loss about 4""",2:00:00 PM,,,ED-Near Miss,3322606,yes
580328,19-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Apr-11,ED-Near-Miss,,,,,29982,1.2 Defective or failed component including safety devices,Caller reports car was running with landing doors open.,8:40:00 AM,See Report,See Report,ED Near Miss,5470868,yes
582590,26-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20-Apr-11,ED-Incident,0.0,0.0,1.0,0.0,74500,,Freight Elevator- Patrick closed gate on his fingers and it cut them.,4:00:00 PM,,,ED-Incident,3323560,yes
586064,03-May-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22-Apr-11,ED-Incident,0.0,0.0,1.0,0.0,87203,,Elevator - door closed too fast and hit women and she fell to floor they slowed speed down,3:30:00 PM,,,ED-Incident,3330193,yes
597312,27-May-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26-Apr-11,ED-Incident,0.0,0.0,1.0,0.0,78426,,Power went out causing the device to stop victim had a preexisting neck injury and it caused it to hurt again.,10:52:00 AM,,,ED-Incident,3392891,yes
583594,28-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Apr-11,ED-Near-Miss,,,,,69226,,Elevator - Member of public watched 4 people within 15 minutes trip one hit wall unknown if any injuries,9:30:00 AM,,,ED-Near Miss,3325623,yes
